# FormFair Held-Out Evaluation Protocol v1.0, section 1
# source_url=https://www.digital.govt.nz/standards-and-guidance/nz-government-web-standards/centralised-web-accessibility-checker-cwac/website-scores-cwac
# retrieved_utc=2026-08-11T05:18:19Z
# scan_date=2026-06-30
# page_sha256=ac6a0c4eb5c6087c0766218808c7714974fd68220d0b02ddaaf9dbb212f2a933
# agencies=45
# websites=504
agency,website,url,score,change,pages_scanned,views_with_issues,total_issues,not_scanned
"Ministry for Cities, Environment, Regions and Transport",MfE Careers,https://careers.mfe.govt.nz/,100,0,8,8,124,false
"Ministry for Cities, Environment, Regions and Transport",MfE Data Service,https://data.mfe.govt.nz,100,0,300,300,4836,false
"Ministry for Cities, Environment, Regions and Transport",Multilateral Agreement on the Liberalization of International Air Transportation,https://www.maliat.govt.nz/,100,0,10,10,61,false
"Ministry for Cities, Environment, Regions and Transport",NZSAR Resources,https://nzsar-resources.org.nz/,100,0,25,25,136,false
Ministry for Culture and Heritage,28 Māori Battalion,https://28maoribattalion.org.nz/,0,-3,300,0,0,false
Ministry for Culture and Heritage,Canterbury Earthquake National Memorial,https://www.mch.govt.nz/our-work/memorials-and-commemorations/oi-manawa-canterbury-earthquake-national-memorial,0,0,2,0,0,false
Ministry for Culture and Heritage,New Zealand and the Vietnam War,https://vietnamwar.govt.nz/,0,0,300,0,0,false
Ministry for Culture and Heritage,Ministry for Culture & Heritage,https://www.mch.govt.nz/,2,-2,300,10,21,false
Ministry for Culture and Heritage,NZ History,https://nzhistory.govt.nz/,3,-7,300,10,287,false
Ministry for Culture and Heritage,Te Ara Encyclopedia of New Zealand,https://teara.govt.nz/,4,2,300,13,54,false
Ministry for Culture and Heritage,Te Tai Treaty Settlement Stories,https://tetai.nz/,Not scanned,N/A,0,N/A,N/A,true
Ministry for Ethnic Communities,EX25 - Ethnic Xchange Symposium,https://ethnicxchange.org.nz/,0,0,1,0,0,false
Ministry for Ethnic Communities,Ethnic Communities,https://www.ethniccommunities.govt.nz/,4,-96,300,11,30,false
Ministry for Pacific Peoples,Ministry for Pacific Peoples,https://www.mpp.govt.nz/,86,-4,300,300,3514,false
Ministry for Pacific Peoples,Kātoatoa,https://katoatoa.mpp.govt.nz/,100,50,1,1,8,false
Ministry for Primary Industries,Official New Zealand Pest Register,https://onzpr.mpi.govt.nz/,0,0,7,0,0,false
Ministry for Primary Industries,Ministry for Primary Industries,https://www.mpi.govt.nz/,3,-11,300,9,45,false
Ministry for Primary Industries,PIER Search,https://piersearch.mpi.govt.nz/,3,-13,16,1,2,false
Ministry for Primary Industries,Bionet.NZ,https://www.bionet.nz/,5,-95,60,3,6,false
Ministry for Primary Industries,Food and fibre workforce insights,https://www.workforceinsights.govt.nz/,5,-30,86,8,8,false
Ministry for Primary Industries,Kauri Protection,https://www.kauriprotection.co.nz/,5,-10,300,28,32,false
Ministry for Primary Industries,Marine Biosecurity Porthole,https://marinebiosecurity.org.nz/,8,-92,78,6,12,false
Ministry for Primary Industries,Canopy,https://www.canopy.govt.nz/,10,-52,300,59,60,false
Ministry for Primary Industries,Ground Rules,https://www.groundrules.mpi.govt.nz/,11,7,268,42,109,false
Ministry for Primary Industries,NAEAC,https://www.naeac.org.nz/,27,-60,15,8,8,false
Ministry for Primary Industries,NAWAC,https://www.nawac.org.nz/,31,-59,21,13,13,false
Ministry for Primary Industries,Predator Free 2050,https://www.tuiatetaiao.nz/,52,0,29,29,93,false
Ministry for Primary Industries,Myrtle Rust,https://www.myrtlerust.org.nz/,63,0,58,58,318,false
Ministry for Primary Industries,Wilding Pines,https://www.wildingpines.nz/,65,-34,132,129,849,false
Ministry for Primary Industries,Government Health and Safety Lead,https://www.healthandsafety.govt.nz,100,0,222,221,2512,false
Ministry for Primary Industries,Global Research Alliance,https://globalresearchalliance.org/,Not scanned,N/A,0,N/A,N/A,true
Ministry for Regulation,Ministry for Regulation Engagement hub,https://consultation.regulation.govt.nz/,0,0,34,0,0,false
Ministry for Regulation,Ministry for Regulation,https://www.regulation.govt.nz/,4,-18,300,12,36,false
Ministry for Regulation,Careers at the Ministry for Regulation,https://careers.regulation.govt.nz/,7,-14,23,2,5,false
Ministry for Women,Ministry for Women,https://www.women.govt.nz/,2,-1,300,7,10,false
"Ministry of Business, Innovation and Employment",Auditors Register - Companies Office,https://www.companiesoffice.govt.nz/all-registers/auditors/,0,0,4,0,0,false
"Ministry of Business, Innovation and Employment",Building Societies Register - Companies Office,https://www.companiesoffice.govt.nz/all-registers/building-societies/,0,-44,11,0,0,false
"Ministry of Business, Innovation and Employment",Contributory Mortgage Brokers Register - Companies Office,https://www.companiesoffice.govt.nz/all-registers/contributory-mortgage-brokers/,0,0,3,0,0,false
"Ministry of Business, Innovation and Employment",Determinations - Employment Relations Authority (ERA),https://determinations.era.govt.nz/determinations,0,0,33,0,0,false
"Ministry of Business, Innovation and Employment",Do you need a building consent?,https://www.canibuildit.govt.nz/,0,0,41,0,0,false
"Ministry of Business, Innovation and Employment",Employment NZ Early Resolution Web Form,https://earlyresolution.employment.govt.nz/,0,0,1,0,0,false
"Ministry of Business, Innovation and Employment",Employment Relations Authority (ERA),https://www.era.govt.nz/,0,0,31,0,0,false
"Ministry of Business, Innovation and Employment",Employment Services Workplace Repository,https://workplacerepository.mbie.govt.nz/,0,0,6,0,0,false
"Ministry of Business, Innovation and Employment",Find Electrical Workers - Kete,https://kete.mbie.govt.nz/EW/EWPRSearch/,0,0,1,0,0,false
"Ministry of Business, Innovation and Employment",Friendly Societies Register - Companies Office,https://www.companiesoffice.govt.nz/all-registers/friendly-societies/,0,-50,3,0,0,false
"Ministry of Business, Innovation and Employment",Heating Assessment Tool - Tenancy Services,https://tools.tenancy.govt.nz/heating-tool,0,0,1,0,0,false
