# FormFair Held-Out Evaluation Protocol v1.0, section 1
# source_url=https://www.digital.govt.nz/standards-and-guidance/nz-government-web-standards/centralised-web-accessibility-checker-cwac/website-scores-cwac
# retrieved_utc=2026-08-11T05:18:19Z
# scan_date=2026-06-30
# page_sha256=ac6a0c4eb5c6087c0766218808c7714974fd68220d0b02ddaaf9dbb212f2a933
# agencies=45
# websites=504
agency,website,url,score,change,pages_scanned,views_with_issues,total_issues,not_scanned
Public Service Commission,DocRef Alpha,https://docref.digital.govt.nz/,Not scanned,N/A,0,N/A,N/A,true
Serious Fraud Office,Serious Fraud Office,https://www.sfo.govt.nz/,7,0,235,16,34,false
Social Investment Agency,The Hub,https://thehub.sia.govt.nz/,0,-12,300,0,0,false
Social Investment Agency,Social Investment Agency,https://www.sia.govt.nz/,1,0,300,2,4,false
Stats NZ,Place and ethnic group summaries,https://tools.summaries.stats.govt.nz/,0,-1,209,0,0,false
Stats NZ,Stats NZ,https://www.stats.govt.nz,9,-5,300,28,104,false
Stats NZ,DataInfo+,https://datainfoplus.stats.govt.nz/,31,0,300,94,1959,false
Stats NZ,Aotearoa Data Explorer,https://explore.data.stats.govt.nz/,50,-50,1,1,1,false
Stats NZ,Infoshare,https://infoshare.stats.govt.nz,92,-8,13,12,274,false
Stats NZ,API Portal,https://portal.apis.stats.govt.nz/,100,0,9,9,36,false
Stats NZ,Ariā,https://aria.stats.govt.nz/aria/,100,0,1,1,4,false
Stats NZ,Ariā Coding Service,https://aria.stats.govt.nz/aria-coding/search,100,0,1,1,8,false
Te Puni Kōkiri,Te Kāhui Māngai,https://www.tkm.govt.nz/,0,0,1,0,0,false
Te Puni Kōkiri,Te Puni Kōkiri,https://www.tpk.govt.nz/mi,0,0,1,0,0,false
Te Puni Kōkiri,Tupu.nz,https://www.tupu.nz/,0,-46,300,1,2,false
Te Puni Kōkiri,Te Haeata,https://tehaeata.govt.nz/nau-mai-haere-mai-ki-te-haeata?destination=/kia-ora,6,0,9,1,1,false
Te Tari Whakatau,Te Kete Kōrero a Te Takutai Moana Information Hub,https://storymaps.arcgis.com/stories/03a5d8c628b9439bbdcbef3e7974c3d6,0,0,3,0,0,false
Te Tari Whakatau,Te Tari Whakatau,https://whakatau.govt.nz/,3,-73,223,6,12,false
Te Tari Whakatau,Office of Treaty Settlements and Takutai Moana,https://maca-nds.maps.arcgis.com/home/index.html,100,0,1,1,2,false
The Treasury,Board Appointments,https://www.boardappointments.co.nz/,0,0,17,0,0,false
The Treasury,Budget 2025,https://budget.govt.nz/,3,2,224,7,17,false
The Treasury,Central Agencies Jobs,https://centralagenciesjobs.cass.govt.nz/home,8,-55,40,3,30,false
The Treasury,The Treasury,https://www.treasury.govt.nz/,63,-3,300,300,1207,false
The Treasury,New Zealand Export Credit Office,https://exportcredit.treasury.govt.nz/,81,0,300,300,2906,false
The Treasury,Living Standards Framework,https://lsfdashboard.treasury.govt.nz/wellbeing/,100,0,1,1,58,false
The Treasury,New Zealand Debt Management,https://debtmanagement.treasury.govt.nz/,100,0,300,300,2798,false
Whaikaha,NZSL Board,https://www.nzsl.govt.nz/,1,-1,275,4,28,false
Whaikaha,Whaikaha,https://www.whaikaha.govt.nz/,1,0,300,3,8,false
Whaikaha,Support My Decisions,https://www.supportmydecisions.nz/,2,2,26,1,1,false
